# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  242       7.990971744652e-10       6.928281226993e-13       1.833130303377e-13 
  243       7.976170597158e-10       6.839637684669e-13       1.810903556201e-13 
  244       7.960577301937e-10       6.752505813320e-13       1.788989052449e-13 
  245       7.944197230028e-10       6.666830149623e-13       1.767381241164e-13 
  246       7.927036034301e-10       6.582551686558e-13       1.746073992633e-13 
  247       7.909099651774e-10       6.499607829897e-13       1.725060590747e-13 
  248       7.890394305936e-10       6.417932354681e-13       1.704333725347e-13 
  249       7.870926509064e-10       6.337455361710e-13       1.683885484583e-13 
  250       7.850702881090e-10       6.258116555911e-13       1.663708732241e-13 
  251       7.829729589813e-10       6.179906021078e-13       1.643801343659e-13 
  252       7.808012882880e-10       6.102825714219e-13       1.624162199467e-13 
  253       7.785559270292e-10       6.026876337504e-13       1.604789817638e-13 
  254       7.762375526373e-10       5.952057320225e-13       1.585682348490e-13 
  255       7.738468691739e-10       5.878366800759e-13       1.566837569691e-13 
  256       7.713846075266e-10       5.805801608526e-13       1.548252881259e-13 
  257       7.688515256063e-10       5.734357245950e-13       1.529925300564e-13 
  258       7.662484085433e-10       5.664027870420e-13       1.511851457329e-13 
  259       7.635760688851e-10       5.594806276252e-13       1.494027588634e-13 
  260       7.608353467926e-10       5.526683876645e-13       1.476449533917e-13 
  261       7.580271102376e-10       5.459650685645e-13       1.459112729978e-13 
  262       7.551522551990e-10       5.393695300103e-13       1.442012205976e-13 
  263       7.522117058604e-10       5.328804881640e-13       1.425142578437e-13 
  264       7.492064148065e-10       5.264965138600e-13       1.408498046252e-13 
  265       7.461373632204e-10       5.202160308016e-13       1.392072385680e-13 
  266       7.430055610799e-10       5.140373137571e-13       1.375858945351e-13 
  267       7.398120473552e-10       5.079584867554e-13       1.359850641267e-13 
  268       7.365578902052e-10       5.019775212823e-13       1.344039951804e-13 
  269       7.332441871744e-10       4.960922344766e-13       1.328418912715e-13 
  270       7.298720653902e-10       4.903002873258e-13       1.312979112130e-13 
  271       7.264426817596e-10       4.845991828628e-13       1.297711685562e-13 
  272       7.229572231660e-10       4.789862643612e-13       1.282607310902e-13 
  273       7.194169066661e-10       4.734587135318e-13       1.267656203431e-13 
  274       7.158229796870e-10       4.680135487184e-13       1.252848110810e-13 
  275       7.121767202228e-10       4.626476230941e-13       1.238172308094e-13 
  276       7.084794370320e-10       4.573576228571e-13       1.223617592725e-13 
  277       7.047324698337e-10       4.521400654268e-13       1.209172279539e-13 
  278       7.009371895050e-10       4.469912976400e-13       1.194824195764e-13 
  279       6.970949301901e-10       4.419081845595e-13       1.180563234498e-13 
  280       6.932067813281e-10       4.368902191133e-13       1.166389171830e-13 
  281       6.892737852340e-10       4.319375182391e-13       1.152304244978e-13 
  282       6.852970043080e-10       4.270501413761e-13       1.138310629227e-13 
  283       6.812775211273e-10       4.222280897222e-13       1.124410436868e-13 
  284       6.772164385388e-10       4.174713054908e-13       1.110605716127e-13 
  285       6.731148797514e-10       4.127796711676e-13       1.096898450097e-13 
  286       6.689739884281e-10       4.081530087676e-13       1.083290555670e-13 
  287       6.647949287785e-10       4.035910790920e-13       1.069783882471e-13 
  288       6.605788856511e-10       3.990935809850e-13       1.056380211787e-13 
  289       6.563270646254e-10       3.946601505908e-13       1.043081255502e-13 
  290       6.520406921047e-10       3.902903606103e-13       1.029888655027e-13 
