# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  274       7.119984570122e-10       6.244704811608e-13       1.171325290551e-13 
  275       7.091344976462e-10       6.174134671414e-13       1.157535812579e-13 
  276       7.062146444522e-10       6.104548030798e-13       1.143867210657e-13 
  277       7.032398973770e-10       6.035900283854e-13       1.130320769618e-13 
  278       7.002112836575e-10       5.968144620989e-13       1.116897667122e-13 
  279       6.971298112928e-10       5.901240894240e-13       1.103598972291e-13 
  280       6.939963264124e-10       5.835182769694e-13       1.090425644734e-13 
  281       6.908116488799e-10       5.769971936297e-13       1.077378532456e-13 
  282       6.875766184540e-10       5.705609334233e-13       1.064458370122e-13 
  283       6.842920949015e-10       5.642095145219e-13       1.051665777505e-13 
  284       6.809589581117e-10       5.579428782806e-13       1.039001257944e-13 
  285       6.775781082098e-10       5.517608882672e-13       1.026465196790e-13 
  286       6.741504656708e-10       5.456633292925e-13       1.014057859857e-13 
  287       6.706769714329e-10       5.396499064394e-13       1.001779391875e-13 
  288       6.671585870117e-10       5.337202440933e-13       9.896298149413e-14 
  289       6.635962946134e-10       5.278738849714e-13       9.776090269703e-14 
  290       6.599910972490e-10       5.221102891526e-13       9.657168001450e-14 
  291       6.563440188478e-10       5.164288331074e-13       9.539527793680e-14 
  292       6.526561043711e-10       5.108288087273e-13       9.423164807130e-14 
  293       6.489284199260e-10       5.053094223549e-13       9.308072898755e-14 
  294       6.451620528791e-10       4.998697938136e-13       9.194244606239e-14 
  295       6.413581119702e-10       4.945089554371e-13       9.081671132509e-14 
  296       6.375177274260e-10       4.892258510995e-13       8.970342330243e-14 
  297       6.336420510741e-10       4.840193352447e-13       8.860246686381e-14 
  298       6.297322564562e-10       4.788881719166e-13       8.751371306638e-14 
  299       6.257895389423e-10       4.738310337882e-13       8.643701900014e-14 
  300       6.218151158443e-10       4.688465011921e-13       8.537222763301e-14 
  301       6.178102265296e-10       4.639330611497e-13       8.431916765602e-14 
  302       6.137761325350e-10       4.590891064013e-13       8.327765332832e-14 
  303       6.097141176801e-10       4.543129344356e-13       8.224748432239e-14 
  304       6.056254881814e-10       4.496027465194e-13       8.122844556907e-14 
  305       6.015115727661e-10       4.449566467279e-13       8.022030710270e-14 
  306       5.973737227852e-10       4.403726409738e-13       7.922282390624e-14 
